日期 : 2014-08-13| 股票 : 601088| 买卖方向 : BUY  | 报价 : 15.64| 交易额 : 17204.00| 总资产 :  100170.43|
日期 : 2014-08-13| 股票 : 600276| 买卖方向 : BUY  | 报价 : 33.84| 交易额 : 16920.00| 总资产 :  100170.43|
日期 : 2014-08-13| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.49| 交易额 : 17541.00| 总资产 :  100170.43|
日期 : 2014-08-13| 股票 : 600196| 买卖方向 : BUY  | 报价 : 18.85| 交易额 : 16965.00| 总资产 :  100170.43|
日期 : 2014-08-14| 股票 : 601601| 买卖方向 : SELL | 报价 : 19.85| 交易额 : 1985.00| 总资产 :  99077.79|
日期 : 2014-08-14| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.79| 交易额 : 16269.00| 总资产 :  99077.79|
日期 : 2014-08-26| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.38| 交易额 : 1938.00| 总资产 :  98788.95|
日期 : 2014-08-27| 股票 : 601601| 买卖方向 : SELL | 报价 : 19.44| 交易额 : 1944.00| 总资产 :  97983.09|
日期 : 2014-08-29| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.06| 交易额 : 1906.00| 总资产 :  98395.32|
日期 : 2014-09-01| 股票 : 601601| 买卖方向 : SELL | 报价 : 19.21| 交易额 : 1921.00| 总资产 :  99120.52|
日期 : 2014-09-16| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.47| 交易额 : 1947.00| 总资产 :  98390.65|
日期 : 2014-09-19| 股票 : 600276| 买卖方向 : SELL | 报价 : 36.69| 交易额 : 3669.00| 总资产 :  101110.48|
日期 : 2014-10-08| 股票 : 600276| 买卖方向 : BUY  | 报价 : 37.02| 交易额 : 3702.00| 总资产 :  103619.22|
日期 : 2014-10-09| 股票 : 600276| 买卖方向 : SELL | 报价 : 38.95| 交易额 : 3895.00| 总资产 :  103355.49|
日期 : 2014-10-17| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.51| 交易额 : 1451.00| 总资产 :  101303.86|
