日期 : 2014-09-24| 订单号 : 20200302-170843-553948| 股票 : 600276| 买卖方向 : BUY  | 报价 : 38.18| 交易额 : 3818.00| 订单状态 : SUCCESS| 总资产 :  99981.46|
日期 : 2014-09-25| 订单号 : 20200302-170843-638259| 股票 : 601088| 买卖方向 : BUY  | 报价 : 15.58| 交易额 : 4674.00| 订单状态 : SUCCESS| 总资产 :  99864.77|
日期 : 2014-09-25| 订单号 : 20200302-170843-638259| 股票 : 600276| 买卖方向 : BUY  | 报价 : 37.12| 交易额 : 37122.11| 订单状态 : SUCCESS| 总资产 :  100169.86|      
日期 : 2014-09-25| 订单号 : 20200302-170843-639263| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.95| 交易额 : 10465.00| 订单状态 : SUCCESS| 总资产 :  100017.69|      
日期 : 2014-09-30| 订单号 : 20200302-170843-947455| 股票 : 600703| 买卖方向 : BUY  | 报价 : 15.54| 交易额 : 23310.00| 订单状态 : SUCCESS| 总资产 :  99825.42|
日期 : 2014-10-08| 订单号 : 20200302-170844-033130| 股票 : 600703| 买卖方向 : BUY  | 报价 : 15.84| 交易额 : 11089.52| 订单状态 : SUCCESS| 总资产 :  102026.18|
日期 : 2014-10-08| 订单号 : 20200302-170844-033130| 股票 : 600276| 买卖方向 : SELL | 报价 : 37.84| 交易额 : 37843.47| 订单状态 : SUCCESS| 总资产 :  100775.04|      
日期 : 2014-10-09| 订单号 : 20200302-170844-143840| 股票 : 600196| 买卖方向 : BUY  | 报价 : 19.73| 交易额 : 1973.00| 订单状态 : SUCCESS| 总资产 :  100112.10|
日期 : 2014-10-09| 订单号 : 20200302-170844-144842| 股票 : 600703| 买卖方向 : BUY  | 报价 : 15.56| 交易额 : 6224.00| 订单状态 : SUCCESS| 总资产 :  100020.54|
日期 : 2014-10-10| 订单号 : 20200302-170844-254644| 股票 : 600703| 买卖方向 : SELL | 报价 : 15.18| 交易额 : 28842.00| 订单状态 : SUCCESS| 总资产 :  99333.44|
日期 : 2014-10-10| 订单号 : 20200302-170844-255643| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.53| 交易额 : 9765.00| 订单状态 : SUCCESS| 总资产 :  99244.03|        
